condition,t_color,t_item,d1_color,d1_item,d2_color,d2_item
overinformative-cc,red,pepper,green,apple,orange,pear
informative,black,avocado,green,avocado,yellow,banana
overinformative,orange,pepper,red,avocado,yellow,banana
overinformative,brown,banana,purple,tomato,red,tomato
informative,black,pepper,green,apple,red,pepper
overinformative,green,avocado,orange,pear,orange,pepper
overinformative,yellow,banana,orange,pear,red,pepper
overinformative,blue,apple,orange,pear,green,tomato
overinformative,red,tomato,black,avocado,black,pepper
informative,brown,carrot,yellow,banana,purple,carrot
overinformative-cc,orange,pear,orange,carrot,green,tomato
informative,green,apple,blue,apple,brown,banana
informative,yellow,banana,blue,banana,red,pepper
overinformative-cc,orange,carrot,black,avocado,orange,pepper
informative,blue,banana,red,avocado,yellow,banana
informative,purple,carrot,yellow,banana,brown,carrot
overinformative-cc,black,avocado,black,pepper,green,tomato
informative,brown,banana,blue,banana,orange,pepper
overinformative,yellow,pear,black,avocado,red,pepper
informative,red,avocado,green,avocado,green,pear
informative,orange,pear,green,apple,green,pear
overinformative,blue,apple,black,avocado,orange,pepper
overinformative,purple,tomato,orange,carrot,orange,pepper
overinformative,purple,carrot,blue,apple,black,pepper
overinformative,green,pear,blue,apple,purple,carrot
overinformative,red,apple,black,avocado,brown,carrot
overinformative-cc,blue,apple,black,avocado,blue,banana
overinformative-cc,yellow,banana,yellow,pear,black,pepper
overinformative-cc,red,avocado,red,apple,orange,carrot
overinformative-cc,black,pepper,blue,apple,black,avocado
overinformative,green,avocado,red,apple,black,pepper
informative,black,pepper,blue,apple,orange,pepper
overinformative-cc,orange,carrot,orange,pepper,green,tomato
overinformative,orange,carrot,blue,banana,yellow,pear
overinformative,green,apple,brown,banana,purple,carrot
informative,brown,carrot,red,avocado,orange,carrot
overinformative-cc,blue,banana,blue,apple,brown,carrot
informative,brown,banana,blue,banana,red,pepper
informative,green,apple,red,apple,brown,carrot
overinformative,green,tomato,yellow,pear,black,pepper
informative,red,tomato,black,pepper,green,tomato
overinformative,yellow,banana,purple,carrot,red,pepper
informative-cc,brown,carrot,brown,banana,orange,carrot
overinformative-cc,orange,pepper,red,apple,green,avocado
informative,green,pear,orange,pear,red,pepper
informative,green,tomato,orange,pear,red,tomato
overinformative,brown,carrot,red,apple,green,pear
informative,orange,pear,black,avocado,green,pear
informative,yellow,banana,blue,apple,brown,banana
overinformative,green,apple,yellow,banana,red,tomato
informative,brown,banana,green,apple,yellow,banana
informative,orange,carrot,blue,apple,purple,carrot
overinformative-cc,green,pear,green,apple,orange,carrot
overinformative,red,tomato,orange,carrot,yellow,pear
overinformative-cc,blue,apple,blue,banana,orange,pepper
overinformative-cc,purple,carrot,blue,apple,purple,tomato
overinformative,blue,apple,yellow,banana,red,tomato
overinformative,orange,pear,purple,carrot,red,tomato
overinformative,yellow,banana,black,pepper,red,tomato
overinformative-cc,yellow,pear,yellow,banana,red,tomato
informative,red,tomato,orange,pepper,purple,tomato
overinformative-cc,orange,pepper,green,avocado,brown,banana
informative,red,avocado,black,avocado,blue,banana
overinformative-cc,blue,banana,blue,apple,black,avocado
overinformative,red,apple,green,avocado,purple,carrot
overinformative,green,avocado,blue,apple,red,apple
informative,black,avocado,red,avocado,red,tomato
overinformative,blue,banana,red,apple,red,pepper
overinformative-cc,purple,carrot,blue,banana,purple,tomato
overinformative,red,avocado,blue,apple,orange,pear
overinformative,orange,pear,black,avocado,black,pepper
overinformative,blue,apple,orange,pepper,red,pepper
overinformative-cc,blue,banana,blue,apple,green,apple
overinformative,green,apple,blue,banana,purple,carrot
overinformative,yellow,pear,blue,apple,blue,banana
overinformative-cc,purple,tomato,green,pear,red,pepper
overinformative,red,apple,black,avocado,brown,banana
overinformative,yellow,banana,orange,carrot,green,pear
overinformative,green,tomato,yellow,banana,brown,carrot
overinformative,brown,carrot,black,avocado,red,tomato
informative,green,tomato,orange,pepper,red,tomato
overinformative,green,pear,black,avocado,blue,banana
informative,yellow,banana,brown,banana,purple,tomato
informative,green,apple,red,apple,yellow,banana
informative,blue,apple,red,apple,purple,tomato
overinformative,red,tomato,orange,pear,black,pepper
overinformative-cc,red,tomato,brown,banana,purple,carrot
overinformative,orange,pepper,red,apple,purple,tomato
overinformative,blue,banana,orange,pepper,red,tomato
overinformative,black,pepper,blue,apple,orange,pear
overinformative-cc,brown,banana,brown,carrot,red,tomato
overinformative,purple,carrot,blue,apple,yellow,banana
overinformative,brown,banana,red,apple,orange,carrot
informative,orange,pepper,purple,carrot,red,pepper
informative,red,apple,blue,apple,black,avocado
overinformative,purple,tomato,brown,banana,orange,carrot
informative,green,pear,purple,carrot,yellow,pear
overinformative-cc,orange,carrot,green,avocado,orange,pepper
informative,green,apple,blue,apple,orange,pear
overinformative-cc,black,avocado,purple,carrot,black,pepper
overinformative,green,avocado,blue,apple,red,tomato
overinformative,green,tomato,purple,carrot,red,pepper
informative,purple,carrot,brown,carrot,yellow,pear
informative,green,avocado,blue,apple,red,avocado
informative,purple,tomato,black,avocado,green,tomato
overinformative,blue,banana,orange,pear,red,tomato
overinformative-cc,purple,carrot,purple,tomato,red,tomato
informative,green,tomato,blue,apple,purple,tomato
overinformative,red,avocado,brown,banana,green,pear
overinformative-cc,green,apple,brown,banana,green,tomato
overinformative,red,apple,orange,carrot,orange,pepper
informative,brown,banana,yellow,banana,red,pepper
informative,orange,pepper,purple,carrot,black,pepper
overinformative-cc,green,pear,green,apple,blue,banana
informative,blue,apple,green,apple,orange,pear
overinformative,brown,banana,green,tomato,purple,tomato
overinformative,purple,carrot,black,pepper,red,tomato
informative,red,apple,green,apple,orange,pepper
informative,black,pepper,brown,banana,orange,pepper
informative,orange,pear,green,pear,red,pepper
overinformative-cc,blue,banana,blue,apple,purple,tomato
informative,red,tomato,black,pepper,purple,tomato
overinformative,yellow,banana,green,tomato,red,tomato
informative,red,pepper,blue,apple,black,pepper
informative,brown,banana,green,apple,blue,banana
overinformative-cc,green,apple,orange,pepper,green,tomato
overinformative-cc,orange,pear,orange,carrot,red,tomato
informative,black,avocado,green,avocado,orange,pepper
informative,orange,pepper,green,pear,red,pepper
overinformative-cc,red,apple,green,avocado,red,tomato
overinformative-cc,red,tomato,orange,carrot,purple,carrot
informative,green,apple,blue,apple,yellow,pear
informative,green,pear,red,avocado,yellow,pear
overinformative-cc,purple,carrot,red,apple,purple,tomato
overinformative,brown,carrot,green,apple,green,pear
overinformative,black,pepper,green,avocado,brown,banana
informative,yellow,banana,brown,banana,green,tomato
overinformative,red,tomato,brown,carrot,orange,carrot
overinformative-cc,brown,carrot,red,avocado,brown,banana
overinformative-cc,black,pepper,black,avocado,brown,carrot
overinformative-cc,brown,banana,red,apple,brown,carrot
overinformative,green,pear,brown,carrot,purple,carrot
informative,purple,tomato,blue,apple,green,tomato
overinformative,green,apple,brown,banana,purple,tomato
informative,green,pear,yellow,pear,red,tomato
informative,red,apple,blue,apple,green,tomato
overinformative-cc,yellow,pear,green,avocado,yellow,banana
informative,brown,banana,green,avocado,blue,banana
overinformative,yellow,pear,green,avocado,brown,banana
overinformative,green,avocado,orange,pear,red,pepper
overinformative,orange,carrot,yellow,pear,black,pepper
overinformative,blue,apple,green,avocado,green,tomato
informative,orange,pepper,yellow,pear,black,pepper
informative,purple,carrot,orange,carrot,black,pepper
overinformative-cc,red,avocado,red,apple,orange,pepper
informative,red,tomato,blue,banana,purple,tomato
overinformative,green,pear,blue,banana,red,pepper
overinformative,red,tomato,blue,apple,green,avocado
overinformative-cc,purple,carrot,orange,pear,purple,tomato
informative,red,avocado,black,avocado,black,pepper
informative,red,apple,green,apple,green,pear
overinformative,yellow,pear,black,avocado,orange,carrot
informative,green,apple,blue,apple,black,pepper
overinformative,green,tomato,yellow,banana,orange,carrot
informative,purple,tomato,black,pepper,green,tomato
overinformative,blue,banana,black,avocado,black,pepper
informative,purple,carrot,orange,carrot,green,tomato
overinformative,green,avocado,orange,carrot,black,pepper
overinformative,yellow,banana,red,apple,red,pepper
overinformative,orange,pear,brown,banana,yellow,banana
informative,black,pepper,red,apple,red,pepper
informative,yellow,banana,blue,banana,purple,carrot
overinformative,green,apple,black,avocado,orange,carrot
informative,yellow,pear,black,avocado,orange,pear
overinformative,blue,apple,brown,banana,yellow,pear
overinformative-cc,brown,banana,brown,carrot,orange,pepper
overinformative,green,pear,brown,banana,red,tomato
overinformative,red,avocado,green,pear,yellow,pear
overinformative,purple,carrot,red,apple,yellow,banana
overinformative,orange,pear,yellow,banana,purple,tomato
overinformative,black,avocado,red,apple,purple,tomato
overinformative-cc,yellow,banana,yellow,pear,orange,pepper
overinformative,blue,banana,black,avocado,green,pear
informative,brown,banana,blue,apple,blue,banana
informative,green,apple,red,apple,black,avocado
overinformative-cc,red,avocado,red,apple,brown,banana
informative,red,apple,green,apple,brown,banana
overinformative,yellow,banana,black,pepper,red,pepper
overinformative,brown,banana,red,avocado,red,pepper
overinformative,blue,apple,green,avocado,green,pear
overinformative,black,pepper,green,pear,purple,tomato
overinformative,red,tomato,green,apple,orange,carrot
informative,green,apple,red,apple,orange,pepper
informative,purple,tomato,blue,banana,red,tomato
overinformative,green,pear,black,avocado,red,pepper
overinformative,brown,banana,green,avocado,red,pepper
overinformative,purple,carrot,yellow,pear,green,tomato
overinformative-cc,green,tomato,yellow,pear,red,tomato
overinformative,purple,tomato,red,avocado,orange,pepper
overinformative-cc,red,tomato,purple,carrot,green,pear
informative,yellow,pear,blue,banana,green,pear
overinformative,green,avocado,blue,banana,red,pepper
overinformative-cc,green,pear,green,apple,black,avocado
informative,blue,apple,red,apple,brown,banana
overinformative,black,pepper,red,apple,brown,carrot
overinformative,yellow,banana,orange,pepper,red,pepper
informative,red,apple,green,apple,black,pepper
overinformative,orange,pear,green,apple,brown,banana
overinformative,blue,apple,black,avocado,red,pepper
informative,brown,carrot,black,avocado,orange,carrot
informative,purple,carrot,orange,carrot,green,pear
overinformative,red,pepper,blue,apple,green,pear
informative,blue,banana,brown,banana,black,pepper
informative,black,avocado,green,avocado,red,pepper
overinformative,orange,pepper,black,avocado,purple,tomato
overinformative,red,pepper,orange,carrot,purple,carrot
overinformative,blue,banana,green,avocado,purple,carrot
overinformative-cc,orange,pepper,green,avocado,blue,banana
overinformative,orange,pear,brown,carrot,green,tomato
informative,brown,banana,blue,banana,red,tomato
overinformative,green,tomato,red,avocado,black,pepper
informative,black,pepper,green,apple,orange,pepper
overinformative,yellow,pear,green,apple,orange,carrot
overinformative,red,apple,black,pepper,green,tomato
overinformative,red,avocado,brown,carrot,orange,pepper
overinformative,green,pear,black,avocado,red,avocado
overinformative,red,tomato,green,apple,brown,carrot
overinformative,green,tomato,red,apple,black,avocado
overinformative,black,pepper,red,avocado,purple,tomato
informative,purple,tomato,black,avocado,red,tomato
overinformative-cc,purple,tomato,green,pear,orange,pepper
overinformative,red,pepper,yellow,pear,green,tomato
overinformative,orange,pepper,purple,carrot,green,tomato
overinformative,blue,banana,brown,carrot,purple,carrot
overinformative,yellow,banana,black,avocado,green,avocado
overinformative,yellow,pear,blue,banana,black,pepper
overinformative,brown,carrot,blue,apple,yellow,banana
overinformative,green,apple,black,pepper,red,tomato
overinformative-cc,orange,pear,blue,banana,orange,carrot
informative,red,apple,green,apple,purple,tomato
overinformative,brown,banana,black,avocado,orange,pear
informative,green,avocado,red,avocado,brown,banana
overinformative-cc,green,tomato,blue,banana,red,tomato
overinformative-cc,blue,banana,blue,apple,green,tomato
informative,red,pepper,green,apple,orange,pepper
overinformative,red,apple,black,avocado,black,pepper
informative,yellow,pear,brown,carrot,green,pear
informative,black,pepper,red,pepper,green,tomato
overinformative,yellow,banana,blue,apple,purple,tomato
overinformative,red,tomato,brown,banana,yellow,pear
overinformative,green,pear,red,apple,red,avocado
overinformative,red,avocado,blue,banana,orange,pear
overinformative,green,apple,brown,banana,orange,pear
informative,orange,pear,red,apple,yellow,pear
overinformative,orange,pepper,black,avocado,red,avocado
informative,brown,carrot,orange,carrot,yellow,pear
overinformative,black,avocado,orange,pepper,red,tomato
overinformative,brown,banana,black,avocado,green,pear
overinformative-cc,black,pepper,black,avocado,orange,pear
informative,brown,carrot,purple,carrot,green,pear
overinformative-cc,yellow,pear,yellow,banana,brown,carrot
informative,black,avocado,red,avocado,yellow,pear
overinformative,red,tomato,black,avocado,orange,pepper
overinformative,green,pear,black,avocado,yellow,banana
overinformative,purple,carrot,blue,apple,green,avocado
informative,black,pepper,green,pear,orange,pepper
overinformative,black,avocado,brown,banana,yellow,pear
overinformative-cc,red,pepper,orange,carrot,orange,pear
overinformative-cc,orange,carrot,black,pepper,orange,pepper
informative,red,pepper,yellow,banana,orange,pepper
informative,yellow,pear,brown,banana,orange,pear
overinformative,orange,pear,red,apple,green,tomato
overinformative,yellow,banana,green,pear,green,tomato
informative,red,tomato,brown,carrot,green,tomato
overinformative,green,apple,orange,pear,yellow,pear
informative,green,pear,orange,pear,red,tomato
overinformative,purple,tomato,black,avocado,orange,pepper
overinformative,red,apple,yellow,banana,green,pear
informative,purple,tomato,orange,pepper,red,tomato
overinformative,black,avocado,blue,apple,green,apple
overinformative,green,apple,brown,carrot,orange,pear
informative,orange,pepper,red,apple,red,pepper
informative,green,tomato,orange,carrot,purple,tomato
informative,red,avocado,green,avocado,brown,carrot
overinformative,red,pepper,purple,carrot,green,pear
informative,orange,pear,yellow,pear,black,pepper
overinformative,black,pepper,orange,pear,green,tomato
overinformative-cc,red,tomato,green,apple,purple,carrot
overinformative-cc,green,avocado,yellow,banana,green,pepper
informative,red,apple,green,apple,brown,carrot
overinformative-cc,orange,pepper,blue,apple,green,avocado
overinformative-cc,green,avocado,orange,pear,green,pepper
informative,blue,apple,green,apple,black,pepper
overinformative-cc,black,avocado,black,pepper,orange,pepper
overinformative,blue,banana,red,avocado,orange,pepper
overinformative-cc,red,apple,brown,carrot,red,tomato
overinformative,black,pepper,red,apple,green,tomato
overinformative-cc,blue,apple,blue,banana,orange,pear
informative,brown,banana,yellow,banana,black,pepper
overinformative,green,tomato,blue,banana,orange,pepper
overinformative,purple,tomato,orange,carrot,yellow,pear
informative,orange,carrot,green,avocado,brown,carrot
overinformative-cc,purple,carrot,green,avocado,purple,tomato
overinformative,purple,carrot,blue,banana,orange,pear
informative,red,avocado,black,avocado,orange,carrot
overinformative,orange,pear,red,avocado,brown,carrot
overinformative,green,tomato,blue,banana,yellow,pear
overinformative-cc,brown,carrot,red,apple,brown,banana
overinformative,yellow,banana,green,tomato,purple,tomato
overinformative,brown,banana,red,avocado,red,tomato
overinformative,blue,banana,red,apple,orange,carrot
informative,green,avocado,red,avocado,blue,banana
informative,purple,tomato,yellow,pear,green,tomato
overinformative,yellow,pear,green,avocado,red,avocado
overinformative,red,tomato,yellow,banana,orange,pear
overinformative,green,pear,blue,apple,red,pepper
overinformative-cc,orange,pear,yellow,banana,orange,carrot
informative,black,pepper,red,avocado,red,pepper
overinformative,red,apple,green,avocado,green,tomato
overinformative,blue,apple,orange,carrot,purple,tomato
overinformative,orange,pepper,brown,banana,red,tomato
overinformative-cc,red,avocado,red,apple,orange,pear
informative,black,avocado,green,avocado,orange,pear
informative,yellow,pear,green,pear,black,pepper
overinformative-cc,orange,carrot,orange,pepper,red,tomato
informative,red,tomato,orange,carrot,purple,tomato
overinformative,yellow,pear,red,apple,blue,banana
overinformative,orange,pepper,red,apple,green,tomato
informative,black,pepper,brown,banana,red,pepper
overinformative-cc,orange,pepper,green,avocado,yellow,banana
informative,brown,banana,red,avocado,blue,banana
informative,green,tomato,yellow,pear,red,tomato
overinformative,black,avocado,orange,pepper,red,pepper
overinformative,red,avocado,green,pear,orange,pear
overinformative,blue,apple,yellow,pear,orange,pepper
overinformative,green,pear,black,avocado,brown,banana
informative,red,pepper,blue,apple,orange,pepper
overinformative,black,pepper,blue,apple,red,apple
overinformative-cc,purple,carrot,green,apple,purple,tomato
overinformative,brown,banana,yellow,pear,red,pepper
overinformative,blue,banana,brown,carrot,green,pear
overinformative,orange,carrot,green,apple,red,apple
informative,black,pepper,orange,carrot,red,pepper
overinformative,blue,apple,brown,carrot,green,tomato
informative,yellow,pear,brown,banana,green,pear
overinformative,red,tomato,blue,banana,brown,banana
overinformative-cc,blue,banana,blue,apple,red,apple
overinformative,yellow,banana,black,avocado,red,avocado
overinformative,purple,carrot,blue,banana,yellow,pear
overinformative,blue,banana,red,avocado,red,pepper
overinformative,orange,pepper,brown,banana,yellow,pear
informative,black,avocado,green,avocado,blue,banana
overinformative,green,pear,purple,carrot,purple,tomato
informative,red,apple,green,apple,orange,pear
overinformative,orange,pear,brown,banana,green,tomato
overinformative-cc,black,avocado,blue,banana,black,pepper
informative,red,avocado,black,avocado,purple,carrot
informative,blue,apple,red,apple,brown,carrot
overinformative,yellow,pear,red,apple,red,pepper
overinformative,red,apple,orange,carrot,orange,pear
informative,blue,apple,red,apple,red,avocado
overinformative,black,pepper,green,avocado,purple,tomato
overinformative,orange,carrot,red,pepper,red,tomato
informative,orange,carrot,brown,carrot,red,tomato
overinformative,green,avocado,orange,pear,red,tomato
informative,red,tomato,yellow,banana,green,tomato
overinformative,green,pear,brown,banana,purple,tomato
informative,brown,carrot,orange,carrot,red,tomato
overinformative,purple,carrot,brown,banana,orange,pear
overinformative,red,pepper,brown,carrot,purple,carrot
overinformative,green,apple,brown,banana,yellow,pear
overinformative,green,tomato,orange,carrot,red,pepper
informative,red,pepper,black,pepper,purple,tomato
overinformative,red,avocado,purple,carrot,green,pear
overinformative-cc,yellow,pear,blue,apple,yellow,banana
informative,green,pear,orange,pear,purple,tomato
overinformative,red,apple,green,pear,purple,tomato
informative,green,apple,blue,apple,red,tomato
overinformative-cc,green,pear,green,apple,purple,carrot
informative,black,pepper,blue,banana,orange,pepper
overinformative-cc,purple,tomato,black,avocado,green,pear
overinformative,brown,carrot,green,apple,purple,tomato
overinformative,purple,tomato,black,avocado,brown,banana
overinformative,brown,banana,red,pepper,green,tomato
informative,green,tomato,yellow,banana,red,tomato
informative,green,pear,red,apple,yellow,pear
overinformative,green,avocado,orange,pear,black,pepper
overinformative,green,apple,brown,carrot,orange,carrot
overinformative-cc,brown,banana,blue,apple,brown,carrot
overinformative,yellow,pear,blue,apple,purple,tomato
informative,red,pepper,yellow,banana,black,pepper
overinformative,blue,banana,black,avocado,orange,pepper
informative,red,avocado,green,avocado,black,pepper
informative,orange,pear,green,pear,red,tomato
overinformative,red,tomato,blue,apple,purple,carrot
overinformative,red,pepper,brown,banana,orange,carrot
informative,red,avocado,black,avocado,orange,pear
overinformative,purple,tomato,green,apple,blue,banana
informative,black,pepper,orange,pear,orange,pepper
overinformative,brown,banana,red,apple,red,pepper
overinformative,yellow,pear,green,tomato,red,tomato
overinformative,orange,pear,brown,banana,brown,carrot
informative,green,avocado,red,apple,black,avocado
informative,orange,carrot,red,avocado,brown,carrot
overinformative-cc,blue,apple,blue,banana,green,pear
overinformative,red,avocado,purple,carrot,black,pepper
overinformative,blue,banana,red,apple,black,pepper
informative,purple,carrot,brown,carrot,red,tomato
overinformative,yellow,banana,red,apple,purple,tomato
informative,green,tomato,brown,carrot,red,tomato
overinformative,red,apple,black,avocado,orange,pear
overinformative,yellow,pear,red,apple,orange,pepper
overinformative,purple,carrot,orange,pepper,red,tomato
informative,green,pear,orange,pear,black,pepper
informative,yellow,pear,red,apple,green,pear
informative,brown,banana,yellow,banana,orange,carrot
overinformative,orange,carrot,red,pepper,green,tomato
informative,purple,carrot,brown,carrot,orange,pepper
overinformative-cc,black,avocado,orange,carrot,black,pepper
overinformative,yellow,banana,green,apple,brown,carrot
overinformative-cc,red,pepper,green,avocado,orange,pear
overinformative,orange,pepper,yellow,pear,purple,tomato
overinformative,brown,banana,orange,pear,orange,pepper
overinformative,black,pepper,red,apple,yellow,banana
overinformative-cc,green,pear,green,apple,red,apple
overinformative-cc,green,avocado,brown,carrot,green,pepper
informative,black,avocado,red,avocado,brown,banana
informative,green,avocado,black,avocado,blue,banana
informative,blue,apple,green,apple,black,avocado
overinformative,blue,apple,brown,carrot,red,tomato
overinformative,purple,carrot,black,avocado,red,tomato
informative,purple,tomato,brown,carrot,green,tomato
informative,green,tomato,red,pepper,red,tomato
overinformative,purple,tomato,orange,pear,yellow,pear
informative,brown,banana,blue,banana,orange,carrot
overinformative,green,apple,black,avocado,blue,banana
informative,purple,carrot,orange,carrot,orange,pepper
overinformative-cc,green,avocado,orange,carrot,green,pepper
overinformative,red,pepper,brown,carrot,green,pear
overinformative,yellow,pear,green,apple,red,pepper
overinformative,orange,pepper,blue,apple,green,tomato
overinformative,green,tomato,red,apple,blue,banana
informative,red,tomato,orange,pear,purple,tomato
informative,green,pear,blue,apple,yellow,pear
overinformative,red,apple,green,avocado,orange,pear
overinformative-cc,orange,pepper,green,avocado,red,tomato
overinformative,yellow,banana,orange,pear,green,tomato
overinformative,brown,carrot,blue,apple,green,pear
overinformative,red,pepper,green,apple,brown,carrot
informative,orange,pear,blue,banana,green,pear
overinformative-cc,green,avocado,green,pepper,red,pepper
overinformative-cc,red,avocado,red,apple,brown,carrot
informative,blue,apple,green,apple,brown,carrot
overinformative,black,avocado,brown,carrot,red,pepper
overinformative,orange,carrot,blue,banana,red,pepper
informative,black,avocado,green,avocado,brown,banana
overinformative,purple,tomato,red,avocado,yellow,banana
informative,orange,pepper,green,apple,black,pepper
overinformative-cc,yellow,pear,red,avocado,yellow,banana
overinformative,red,apple,black,pepper,purple,tomato
informative,red,tomato,yellow,pear,purple,tomato
overinformative-cc,blue,banana,blue,apple,red,pepper
overinformative,orange,pear,blue,banana,black,pepper
